wavelength_um,mirror_reflectance,sol_best_emitter_emissivity,planck_1300K_w_m2_um
5.56,0.99362848,0.48211358,11143.241
5.571,0.99417066,0.48116486,11084.021
5.582,0.99466562,0.48024435,11025.164
5.593,0.99509959,0.47935168,10966.668
5.604,0.99547036,0.47848649,10908.53
5.615,0.99578151,0.47764844,10850.748
5.626,0.99603891,0.47683717,10793.32
5.637,0.99624887,0.47605234,10736.243
5.648,0.99641724,0.4752936,10679.516
5.659,0.99654906,0.47456064,10623.135
5.67,0.99664846,0.47385312,10567.1
5.681,0.9967187,0.47317073,10511.406
5.692,0.99676224,0.47251313,10456.053
5.703,0.9967808,0.47188004,10401.038
5.714,0.99677545,0.47127113,10346.359
5.725,0.99674663,0.47068611,10292.013
5.736,0.99669419,0.47012468,10237.999
5.747,0.99661742,0.46958656,10184.314
5.758,0.99651498,0.46907146,10130.957
5.769,0.99638489,0.46857909,10077.924
5.78,0.99622443,0.46810918,10025.215
5.791,0.99603008,0.46766147,9972.8266
5.802,0.99579731,0.46723567,9920.7569
5.813,0.99552042,0.46683154,9869.004
5.824,0.99519231,0.46644881,9817.5657
5.835,0.99480412,0.46608723,9766.4401
5.846,0.99434486,0.46574655,9715.625
5.857,0.99380093,0.46542653,9665.1185
5.868,0.99315547,0.46512692,9614.9185
5.879,0.99238774,0.4648475,9565.023
5.89,0.99147237,0.46458802,9515.4301
5.901,0.99037872,0.46434826,9466.1378
5.912,0.98907057,0.46412799,9417.144
5.923,0.98750676,0.463927,9368.447
5.934,0.98564367,0.46374506,9320.0446
5.945,0.98344123,0.46358197,9271.935
5.956,0.98087494,0.46343752,9224.1163
5.967,0.97795635,0.46331149,9176.5865
5.978,0.97476278,0.46320368,9129.3438
5.989,0.97147011,0.46311391,9082.3863
6,0.96836967,0.46304196,9035.7122
6.08676,0.97314005,0.46307783,8677.3058
6.17352,0.98583291,0.46412413,8335.5259
6.26027,0.98915617,0.46610377,8009.5302
6.34703,0.98831626,0.46894878,7698.5193
6.43379,0.98290525,0.4725989,7401.7341
6.52055,0.96631304,0.47700028,7118.4547
6.60731,0.93020157,0.48210446,6847.9988
6.69406,0.94009629,0.48786739,6589.7194
6.78082,0.96775791,0.49424861,6343.0037
6.86758,0.97875673,0.5012106,6107.2712
6.95434,0.98219571,0.50871809,5881.9723
7.0411,0.98168835,0.51673757,5666.5863
7.12785,0.97731557,0.52523687,5460.6205
7.21461,0.9663079,0.53418469,5263.6083
7.30137,0.94174363,0.54355032,5075.108
7.38813,0.90646618,0.55330336,4894.7014
7.47489,0.91432235,0.56341346,4721.9926
7.56164,0.94696025,0.57385013,4556.6067
7.6484,0.96579179,0.58458264,4398.1889
7.73516,0.97454848,0.59557983,4246.403
7.82192,0.97830952,0.6068101,4100.9307
7.90868,0.97918316,0.61824136,3961.4705
7.99543,0.97775457,0.62984097,3827.7366
8.08219,0.97366745,0.64157585,3699.4585
8.16895,0.96553999,0.65341245,3576.3795
8.25571,0.95052771,0.66531689,3458.2567
8.34247,0.92539757,0.67725504,3344.8593
8.42922,0.89808604,0.68919264,3235.969
8.51598,0.89881894,0.70109546,3131.3783
8.60274,0.92494266,0.71292944,3030.8905
8.6895,0.94808397,0.72466092,2934.3191
8.77626,0.96225339,0.73625676,2841.4868
8.86301,0.97034746,0.74768457,2752.2257
8.94977,0.97487616,0.7589129,2666.3759
9.03653,0.97720704,0.76991141,2583.7858
9.12329,0.97800409,0.78065111,2504.3113
9.21005,0.97752753,0.79110446,2427.8156
9.2968,0.97576467,0.80124561,2354.1685
9.38356,0.97245416,0.81105053,2283.2462
9.47032,0.96703559,0.82049712,2214.9311
9.55708,0.95855338,0.82956534,2149.1114
9.64384,0.9456561,0.8382373,2085.6804
9.73059,0.92732234,0.84649737,2024.5368
9.81735,0.90593771,0.85433213,1965.5841
9.90411,0.89189509,0.86173051,1908.7306
9.99087,0.8964147,0.86868368,1853.8886
10.0776,0.91455838,0.87518512,1800.9748
10.1644,0.93386694,0.88123049,1749.9097
10.2511,0.9487902,0.88681764,1700.6176
10.3379,0.95917107,0.89194646,1653.0263
10.4247,0.9661877,0.89661884,1607.067
10.5114,0.97089848,0.90083851,1562.6738
10.5982,0.9740258,0.90461094,1519.7843
10.6849,0.97602533,0.9079432,1478.3385
10.7717,0.97717406,0.91084382,1438.2793
10.8584,0.97763142,0.91332267,1399.5522
10.9452,0.97747564,0.91539075,1362.105
11.032,0.97672299,0.91706012,1325.8881
11.1187,0.97533528,0.91834372,1290.8538
11.2055,0.97321875,0.91925521,1256.9568
11.2922,0.9702161,0.91980888,1224.1534
11.379,0.96609334,0.92001949,1192.4023
11.4658,0.96052705,0.91990214,1161.6635
11.5525,0.95310866,0.9194722,1131.899
11.6393,0.94341131,0.91874516,1103.0726
11.726,0.93122072,0.91773654,1075.1492
11.8128,0.91708062,0.91646181,1048.0955
11.8995,0.90312291,0.91493633,1021.8796
11.9863,0.8933239,0.91317523,996.47083
12.0731,0.89157887,0.91119338,971.83989
12.1598,0.89839073,0.90900536,947.95866
12.2466,0.9104728,0.90662534,924.80018
12.3333,0.92379681,0.90406712,902.33864
12.4201,0.93588156,0.90134405,880.54923
12.5068,0.94586358,0.89846902,859.40821
12.5936,0.95375647,0.89545443,838.89277
12.6804,0.95988352,0.8923122,818.98103
12.7671,0.96460953,0.88905372,799.65197
12.8539,0.96824845,0.8856899,780.88545
12.9406,0.97104542,0.88223112,762.66209
13.0274,0.97318405,0.87868724,744.9633
13.1142,0.9747992,0.87506762,727.77121
13.2009,0.97598878,0.87138115,711.06865
13.2877,0.97682304,0.86763619,694.83913
13.3744,0.97735136,0.86384065,679.06679
13.4612,0.97760707,0.86000197,663.73638
13.5479,0.97761073,0.85612714,648.83324
13.6347,0.97737232,0.85222271,634.34326
13.7215,0.9768925,0.84829482,620.25288
13.8082,0.97616324,0.84434921,606.54903
13.895,0.97516792,0.84039123,593.21917
13.9817,0.97388097,0.83642585,580.25119
14.0685,0.97226709,0.83245772,567.63344
14.1553,0.97028023,0.82849112,555.35472
14.242,0.96786239,0.82453003,543.40423
14.3288,0.96494274,0.82057814,531.77157
14.4155,0.96143742,0.81663883,520.4467
14.5023,0.95725148,0.81271522,509.41998
14.589,0.95228481,0.80881017,498.68209
14.6758,0.94644564,0.80492631,488.22406
14.7626,0.93967637,0.80106605,478.03723
14.8493,0.93199756,0.79723155,468.11326
14.9361,0.92357312,0.79342481,458.4441
15.0228,0.91478879,0.78964762,449.02199
15.1096,0.90631165,0.7859016,439.83943
15.1963,0.89906825,0.78218821,430.8892
15.2831,0.8940753,0.77850875,422.16431
15.3699,0.89212996,0.77486438,413.65803
15.4566,0.89350147,0.77125612,405.36386
15.5434,0.89782686,0.76768487,397.27551
15.6301,0.90428376,0.76415141,389.38692
15.7169,0.91190837,0.76065641,381.69223
15.8037,0.91986309,0.75720046,374.18578
15.8904,0.92755907,0.75378404,366.8621
15.9772,0.93465582,0.75040752,359.71589
16.0639,0.94100231,0.74707124,352.74206
16.1507,0.94656939,0.74377544,345.93565
16.2374,0.95139565,0.74052027,339.2919
16.3242,0.95555133,0.73730587,332.80617
16.411,0.95911675,0.73413227,326.47401
16.4977,0.96217077,0.73099948,320.2911
16.5845,0.9647854,0.72790744,314.25324
16.6712,0.96702377,0.72485607,308.3564
16.758,0.96893993,0.72184523,302.59666
16.8447,0.97057951,0.71887473,296.97023
16.9315,0.97198071,0.71594439,291.47343
17.0183,0.97317532,0.71305396,286.10272
17.105,0.97418974,0.71020317,280.85466
17.1918,0.97504581,0.70739173,275.72592
17.2785,0.97576158,0.70461934,270.71326
17.3653,0.97635194,0.70188564,265.81357
17.4521,0.97682908,0.6991903,261.02381
17.5388,0.97720297,0.69653294,256.34105
17.6256,0.97748165,0.69391318,251.76245
17.7123,0.97767154,0.69133062,247.28524
17.7991,0.97777763,0.68878486,242.90676
17.8858,0.97780367,0.68627547,238.62442
17.9726,0.9777523,0.68380203,234.4357
18.0594,0.97762517,0.68136411,230.33817
18.1461,0.97742299,0.67896126,226.32947
18.2329,0.97714561,0.67659305,222.40729
18.3196,0.97679205,0.67425903,218.56943
18.4064,0.97636054,0.67195874,214.81371
18.4932,0.97584849,0.66969174,211.13805
