# frame, leg, t, axis x, axis y, axis z, best n, diff %
247, 2, 0.7444, 0.134097, -0.483416, -0.865059, 2, 71.8476
248, 2, 0.7556, 0.128303, -0.485463, -0.864791, 2, 72.3900
249, 2, 0.7667, 0.122504, -0.487492, -0.864491, 2, 72.2258
250, 2, 0.7778, 0.116701, -0.489503, -0.864157, 2, 71.1534
251, 2, 0.7889, 0.110893, -0.491495, -0.863791, 2, 71.3545
252, 2, 0.8000, 0.105081, -0.493469, -0.863393, 2, 71.4329
253, 2, 0.8111, 0.099265, -0.495423, -0.862961, 2, 71.6647
254, 2, 0.8222, 0.093446, -0.497360, -0.862497, 2, 72.1070
255, 2, 0.8333, 0.087622, -0.499277, -0.862001, 2, 72.6844
256, 2, 0.8444, 0.081796, -0.501175, -0.861471, 2, 72.5725
257, 2, 0.8556, 0.075966, -0.503055, -0.860909, 2, 73.2495
258, 2, 0.8667, 0.070134, -0.504915, -0.860315, 2, 73.5754
259, 2, 0.8778, 0.064299, -0.506757, -0.859688, 2, 73.5616
260, 2, 0.8889, 0.058461, -0.508579, -0.859029, 2, 73.6307
261, 2, 0.9000, 0.052621, -0.510382, -0.858337, 2, 74.1321
262, 2, 0.9111, 0.046779, -0.512165, -0.857612, 5, 74.1307
263, 2, 0.9222, 0.040936, -0.513930, -0.856855, 5, 73.2904
264, 2, 0.9333, 0.035091, -0.515674, -0.856066, 5, 70.9556
265, 2, 0.9444, 0.029244, -0.517400, -0.855244, 5, 66.8915
266, 2, 0.9556, 0.023397, -0.519105, -0.854390, 5, 62.8136
267, 2, 0.9667, 0.017548, -0.520791, -0.853504, 5, 56.7096
268, 2, 0.9778, 0.011699, -0.522458, -0.852585, 5, 47.4763
269, 2, 0.9889, 0.005850, -0.524104, -0.851634, 5, 34.5631
