inner,mid,zoom,rx,ry,rz,level,faces,pents,chi,coords,mantissa_ones,density,powers_of_two,short_tail,worst,ink,l_entropy,distinct,net_digest,image,netfile
0.73,0.50,420,0.9,1.2,0.3,3,10292,12,2,185220,4713862,0.489424,1980,0,37,0.340469,2.661082,888,7d84a8f28a3c3b85,img_i0.73_m0.50_v2.png,net_i0.73_m0.50_lv3.gosnet
0.73,0.50,760,0.35,2.4,0,3,10292,12,2,185220,4713862,0.489424,1980,0,37,0.197156,1.371886,358,7d84a8f28a3c3b85,img_i0.73_m0.50_v3.png,net_i0.73_m0.50_lv3.gosnet
0.73,0.73,180,0,0,0,3,10292,12,2,185220,4741048,0.492247,1980,0,37,0.237341,1.886083,455,b4cacc143d5435cd,img_i0.73_m0.73_v0.png,net_i0.73_m0.73_lv3.gosnet
0.73,0.73,260,0.35,0.6,0,3,10292,12,2,185220,4741048,0.492247,1980,0,37,0.424976,3.847289,1547,b4cacc143d5435cd,img_i0.73_m0.73_v1.png,net_i0.73_m0.73_lv3.gosnet
0.73,0.73,420,0.9,1.2,0.3,3,10292,12,2,185220,4741048,0.492247,1980,0,37,0.232852,2.081649,849,b4cacc143d5435cd,img_i0.73_m0.73_v2.png,net_i0.73_m0.73_lv3.gosnet
0.73,0.73,760,0.35,2.4,0,3,10292,12,2,185220,4741048,0.492247,1980,0,37,0.127908,1.050114,324,b4cacc143d5435cd,img_i0.73_m0.73_v3.png,net_i0.73_m0.73_lv3.gosnet
0.73,0.95,180,0,0,0,3,10292,12,2,185220,4729384,0.491036,1980,0,37,0.255476,2.055002,451,6692d07e2db8cefb,img_i0.73_m0.95_v0.png,net_i0.73_m0.95_lv3.gosnet
0.73,0.95,260,0.35,0.6,0,3,10292,12,2,185220,4729384,0.491036,1980,0,37,0.465459,4.131685,1522,6692d07e2db8cefb,img_i0.73_m0.95_v1.png,net_i0.73_m0.95_lv3.gosnet
0.73,0.95,420,0.9,1.2,0.3,3,10292,12,2,185220,4729384,0.491036,1980,0,37,0.278923,2.376011,885,6692d07e2db8cefb,img_i0.73_m0.95_v2.png,net_i0.73_m0.95_lv3.gosnet
0.73,0.95,760,0.35,2.4,0,3,10292,12,2,185220,4729384,0.491036,1980,0,37,0.166516,1.256978,360,6692d07e2db8cefb,img_i0.73_m0.95_v3.png,net_i0.73_m0.95_lv3.gosnet
0.95,0.05,180,0,0,0,3,10292,12,2,185220,4685630,0.486493,2168,0,38,0.365852,2.626219,660,010eb964a2d40ded,img_i0.95_m0.05_v0.png,net_i0.95_m0.05_lv3.gosnet
0.95,0.05,260,0.35,0.6,0,3,10292,12,2,185220,4685630,0.486493,2168,0,38,0.681394,5.467437,2708,010eb964a2d40ded,img_i0.95_m0.05_v1.png,net_i0.95_m0.05_lv3.gosnet
0.95,0.05,420,0.9,1.2,0.3,3,10292,12,2,185220,4685630,0.486493,2168,0,38,0.512693,3.791180,1318,010eb964a2d40ded,img_i0.95_m0.05_v2.png,net_i0.95_m0.05_lv3.gosnet
0.95,0.05,760,0.35,2.4,0,3,10292,12,2,185220,4685630,0.486493,2168,0,38,0.320510,2.083385,503,010eb964a2d40ded,img_i0.95_m0.05_v3.png,net_i0.95_m0.05_lv3.gosnet
0.95,0.28,180,0,0,0,3,10292,12,2,185220,4713462,0.489383,2168,0,38,0.337043,2.476152,658,2a1bbc860229ad23,img_i0.95_m0.28_v0.png,net_i0.95_m0.28_lv3.gosnet
0.95,0.28,260,0.35,0.6,0,3,10292,12,2,185220,4713462,0.489383,2168,0,38,0.632485,5.115906,2433,2a1bbc860229ad23,img_i0.95_m0.28_v1.png,net_i0.95_m0.28_lv3.gosnet
0.95,0.28,420,0.9,1.2,0.3,3,10292,12,2,185220,4713462,0.489383,2168,0,38,0.448997,3.301051,1176,2a1bbc860229ad23,img_i0.95_m0.28_v2.png,net_i0.95_m0.28_lv3.gosnet
0.95,0.28,760,0.35,2.4,0,3,10292,12,2,185220,4713462,0.489383,2168,0,38,0.290474,1.805316,460,2a1bbc860229ad23,img_i0.95_m0.28_v3.png,net_i0.95_m0.28_lv3.gosnet
0.95,0.50,180,0,0,0,3,10292,12,2,185220,4714326,0.489473,2168,0,38,0.269021,2.097232,626,6660d0f7d2bc17e7,img_i0.95_m0.50_v0.png,net_i0.95_m0.50_lv3.gosnet
0.95,0.50,260,0.35,0.6,0,3,10292,12,2,185220,4714326,0.489473,2168,0,38,0.511873,4.395252,2275,6660d0f7d2bc17e7,img_i0.95_m0.50_v1.png,net_i0.95_m0.50_lv3.gosnet
